iter	Passed	Remaining
0	1	189
1	3	181
2	5	171
3	7	180
4	9	179
5	11	176
6	13	173
7	14	172
8	16	169
9	18	167
10	20	166
11	22	163
12	24	161
13	26	163
14	28	164
15	30	160
16	32	158
17	35	160
18	37	159
19	38	155
20	40	154
21	42	151
22	45	151
23	47	149
24	49	147
25	51	145
26	53	143
27	56	144
28	58	143
29	60	141
30	63	140
31	64	138
32	66	135
33	68	132
34	70	130
35	72	128
36	74	126
37	76	124
38	78	122
39	81	121
40	83	120
41	87	120
42	89	118
43	91	116
44	93	114
45	95	111
46	97	109
47	98	107
48	101	105
49	103	103
50	105	101
51	108	100
52	110	97
53	111	95
54	113	93
55	115	90
56	117	88
57	119	86
58	121	84
59	124	82
60	127	81
61	129	79
62	131	77
63	133	74
64	135	72
65	136	70
66	138	68
67	139	65
68	141	63
69	143	61
70	145	59
71	148	57
72	150	55
73	152	53
74	154	51
75	156	49
76	158	47
77	159	45
78	161	42
79	162	40
80	164	38
81	165	36
82	167	34
83	169	32
84	171	30
85	173	28
86	174	26
87	176	24
88	177	21
89	178	19
90	180	17
91	181	15
92	183	13
93	185	11
94	186	9
95	188	7
96	190	5
97	192	3
98	194	1
99	196	0
